epoch,train_loss,train_acc,best_acc,time_sec
1,0.7727200270435715,0.26918125643666324,0.26918125643666324,3492.059512615204
2,0.32214207744780243,0.6468846549948507,0.6468846549948507,2169.3251638412476
3,0.1833049426441312,0.7476828012358393,0.7476828012358393,2192.83389377594
4,0.1250832064340901,0.8003347064881565,0.8003347064881565,1940.0143113136292
5,0.08945651905793453,0.8375386199794027,0.8375386199794027,2348.9552023410797
6,0.0545827746011388,0.8722966014418125,0.8722966014418125,6002.697733402252
7,0.04218012078392787,0.8972708547888775,0.8972708547888775,3257.9924659729004
